"RecOrigin","RecFlags","RecVrsn","Manufacturer","Model","SysType","UnitType","ClgCap","HtgCap","PowerCode","Series","MixPipeId","VapPipeId","Height","Width","Depth","Weight","MaxPipeLen","MaxPipeHeight"
"CARR","","1938","CARR","38MARBQ24AA3","H","OS","24000","24000","A","A","0375","0625","35","37","16","135","164","82"
"CARR","","1938","CARR","38MARBQ30AA3","H","OS","30000","30000","A","A","0375","0625","35","37","16","142","164","82"
"CARR","","1938","CARR","38MARBQ36AA3","H","OS","36000","36000","A","A","0375","0625","35","37","16","150","213","98"
"WSF","","1937","WSF","HIU12AA","H","IU","12000","12000","A","A","0250","0375","22","26","12","50","100","50"
"WSF","","1937","WSF","HIU15AA","H","IU","15000","15000","A","A","0250","0375","22","26","12","50","100","50"
"WSF","","1937","WSF","HIU18AA","H","IU","18000","18000","A","A","0250","0375","8","62","26","90","130","70"
"WSF","","1937","WSF","HIU24AA","H","IU","24000","24000","A","A","0375","0500","8","62","26","90","130","70"
"WSF","","1937","WSF","HIU30AA","H","IU","30000","30000","A","A","0375","0500","8","62","26","90","200","90"
"WSF","","1937","WSF","HIU36AA","H","IU","36000","36000","A","A","0375","0500","8","62","26","90","200","90"
"WSF","","1937","WSF","HIU42AA","H","IU","42000","42000","A","A","0375","0500","8","64","30","110","250","100"
"WSF","","1937","WSF","HIU48AA","H","IU","48000","48000","A","A","0500","0625","8","64","30","110","250","100"
"WSF","","1937","WSF","HIU54AA","H","IU","54000","54000","A","A","0500","0625","8","64","30","110","250","100"
"WSF","","1937","WSF","HIU60AA","H","IU","60000","60000","A","A","0500","0625","8","64","36","130","250","100"
"WSF","","1937","WSF","HIW09AA","H","IW","9000","9000","A","A","0250","0375","12","30","8","18","100","50"
"WSF","","1937","WSF","HIW12AA","H","IW","12000","12000","A","A","0250","0375","12","30","8","18","100","50"
"WSF","","1937","WSF","HIW15AA","H","IW","15000","15000","A","A","0250","0375","12","30","8","18","100","50"
"WSF","","1937","WSF","HIW18AA","H","IW","18000","18000","A","A","0250","0375","12","40","10","26","130","70"
"WSF","","1937","WSF","HIW24AA","H","IW","24000","24000","A","A","0375","0500","12","40","10","26","130","70"
"WSF","","1937","WSF","HIW30AA","H","IW","30000","30000","A","A","0375","0500","14","48","10","30","200","90"
"WSF","","1937","WSF","HIW36AA","H","IW","36000","36000","A","A","0375","0500","14","48","10","30","200","90"
"WSF","","1937","WSF","HIW42AA","H","IW","42000","42000","A","A","0375","0500","16","50","10","40","250","100"
"WSF","","1937","WSF","HIW48AA","H","IW","48000","48000","A","A","0500","0625","16","50","10","40","250","100"
"WSF","","1937","WSF","HIW54AA","H","IW","54000","54000","A","A","0500","0625","20","50","12","50","250","100"
"WSF","","1937","WSF","HIW60AA","H","IW","60000","60000","A","A","0500","0625","20","50","12","50","250","100"
"WSF","","1937","WSF","HOM09AA","H","OM","9000","9000","A","A","0250","0375","22","26","12","50","100","50"
"WSF","","1937","WSF","HOM12AA","H","OM","12000","12000","A","A","0250","0375","22","26","12","50","100","50"
"WSF","","1937","WSF","HOM15AA","H","OM","15000","15000","A","A","0250","0375","22","26","12","50","100","50"
"WSF","","1937","WSF","HOM18AA","H","OM","18000","18000","A","A","0250","0375","28","34","12","100","130","70"
"WSF","","1937","WSF","AIW15AA","A","IW","15000","0","A","A","0250","0375","12","30","8","18","100","50"
"WSF","","1937","WSF","AIW18AA","A","IW","18000","0","A","A","0250","0375","12","40","10","26","130","70"
"WSF","","1937","WSF","AIW24AA","A","IW","24000","0","A","A","0375","0500","12","40","10","26","130","70"
"WSF","","1937","WSF","AIW30AA","A","IW","30000","0","A","A","0375","0500","14","48","10","30","200","90"
"CARR","","1938","CARR","38MHRCQ09AA3","H","OS","9000","10000","A","A","0250","0375","22","30","12","55","82","32"
"CARR","","1938","CARR","38MHRCQ12AA1","H","OS","12000","12000","D","A","0250","0500","22","30","12","62","82","32"
"CARR","","1938","CARR","38MHRCQ12AA3","H","OS","12000","12000","A","A","0250","0500","22","30","12","59","82","32"
"CARR","","1938","CARR","38MHRCQ18AA3","H","OS","18000","18000","A","A","0250","0500","22","32","13","74","98","65"
"CARR","","1938","CARR","38MHRCQ24AA3","H","OS","24000","24000","A","A","0375","0625","27","35","13","98","164","82"
"CARR","","1938","CARR","40MAHBQ06XA3","H","IW","6000","7400","A","A","0250","0375","12","31","9","23","82","32"
"CARR","","1938","CARR","40MAHBQ09XA3","H","IW","9000","11800","A","A","0250","0375","12","31","9","23","82","32"
"CARR","","1938","CARR","40MAHBQ12XA1","H","IW","12000","12100","D","A","0250","0500","12","31","9","23","82","32"
"CARR","","1938","CARR","40MAHBQ12XA3","H","IW","12000","12000","A","A","0250","0500","12","31","9","23","82","32"
"CARR","","1938","CARR","40MAHBQ18XA3","H","IW","18000","18000","A","A","0250","0500","13","37","9","28","98","65"
"CARR","","1938","CARR","40MAHBQ24XA3","H","IW","24000","29000","A","A","0375","0625","15","45","11","44","164","82"
"CARR","","1938","CARR","40MAHBQ30XA3","H","IW","30000","30000","A","A","0375","0625","15","45","11","44","164","82"
"CARR","","1938","CARR","40MAHBQ36XA3","H","IW","36000","36000","A","A","0375","0625","15","45","11","44","213","98"
"CARR","","1938","CARR","40MBCQ09---3","H","IC","9000","10000","A","A","0250","0375","10","22","22","35","82","32"
"CARR","","1938","CARR","40MBCQ12---3","H","IC","12000","12000","A","A","0250","0500","10","22","22","35","82","32"
"CARR","","1938","CARR","40MBCQ18---3","H","ID","16500","19000","A","A","0250","0500","8","35","27","54","98","65"
"CARR","","1938","CARR","40MBDQ09---3","H","ID","9000","10000","A","A","0250","0375","8","28","20","44","82","32"
"CARR","","1938","CARR","40MBDQ12---3","H","ID","12000","12000","A","A","0250","0500","8","28","20","44","82","32"
"CARR","","1938","CARR","40MBFQ18---3","H","IF","17000","18000","A","A","0250","0500","27","42","9","55","98","65"
"CARR","","1938","CARR","40MBFQ24---3","H","IF","24000","24600","A","A","0375","0625","27","42","9","58","164","82"
"WSF","","1937","WSF","AIW36AA","A","IW","36000","0","A","A","0375","0500","14","48","10","30","200","90"
"WSF","","1937","WSF","AIA09AA","A","IA","9000","0","A","A","0250","0375","40","20","26","130","100","50"
"WSF","","1937","WSF","AIA12AA","A","IA","12000","0","A","A","0250","0375","40","20","26","130","100","50"
"WSF","","1937","WSF","AIA15AA","A","IA","15000","0","A","A","0250","0375","40","20","26","130","100","50"
"WSF","","1937","WSF","AIA18AA","A","IA","18000","0","A","A","0250","0375","48","22","26","150","130","70"
"WSF","","1937","WSF","AIA24AA","A","IA","24000","0","A","A","0375","0500","48","22","26","150","130","70"
"WSF","","1937","WSF","AIA30AA","A","IA","30000","0","A","A","0375","0500","58","22","26","190","200","90"
"WSF","","1937","WSF","AIA36AA","A","IA","36000","0","A","A","0375","0500","58","22","26","190","200","90"
"WSF","","1937","WSF","AIA42AA","A","IA","42000","0","A","A","0375","0500","58","22","26","190","250","100"
"WSF","","1937","WSF","AIA48AA","A","IA","48000","0","A","A","0500","0625","58","24","26","210","250","100"
"WSF","","1937","WSF","AIA54AA","A","IA","54000","0","A","A","0500","0625","58","24","26","210","250","100"
"CARR","","2042","CARR","38MHRDC24AA3","A","OS","24000","0","A","A","0375","0625","27","35","13","98","164","66"
"CARR","","2042","CARR","38MPRBQ09AA3","H","OS","9000","10000","A","A","0250","0500","27","35","13","101","82","33"
"CARR","","2042","CARR","38MPRBQ12AA3","H","OS","12000","12000","A","A","0250","0500","27","35","13","101","82","33"
"CARR","","2042","CARR","38MPRBQ18AA3","H","OS","18000","18000","A","A","0375","0625","32","37","16","135","164","82"
"CARR","","2042","CARR","38VMB036HDS3-1","H","OM","36000","40000","A","A","0375","0625","52","36","16","220","492","164"
"CARR","","2042","CARR","38VMB048HDS3-1","H","OM","48000","52500","A","A","0375","0625","52","36","16","220","492","164"
"CARR","","2042","CARR","38VMB060HDS3-1","H","OM","60000","66000","A","A","0375","0750","52","36","16","220","492","164"
"CARR","","2042","CARR","40MBABQ18XB3","H","IA","18000","18000","A","A","0250","0500","45","18","21","107","98","65"
"CARR","","2042","CARR","40MBABQ24XB3","H","IA","22000","27000","A","A","0375","0625","45","18","21","107","164","82"
"CARR","","2042","CARR","40MBABQ30XB3","H","IA","36000","36000","A","A","0375","0625","49","21","21","130","213","98"
"CARR","","2042","CARR","40MBABQ36XB3","H","IA","48000","48000","A","A","0375","0625","49","21","21","130","213","98"
"CARR","","2042","CARR","40MBCAQ24XA3","H","IC","24000","24000","A","A","0375","0625","8","33","33","47","328","65"
"CARR","","2042","CARR","40MBDAQ09XH3","H","ID","9000","9000","A","A","0250","0375","8","35","27","55","82","32"
"CARR","","2042","CARR","40MBDAQ12XH3","H","ID","12000","12000","A","A","0250","0500","10","43","30","83","82","32"
"CARR","","2042","CARR","40MBDAQ18XH3","H","ID","18000","18000","A","A","0250","0500","10","43","30","88","98","65"
"CARR","","2042","CARR","40MBDAQ24XH3","H","ID","24000","24000","A","A","0375","0625","10","43","30","88","164","82"
"CARR","","2042","CARR","40MBFAQ12---3","H","IF","12000","12000","A","A","0250","0500","23","28","8","32","82","32"
"CARR","","2042","CARR","40MCCAQ09XA3","H","IC","9000","9000","A","A","0250","0375","9","50","13","44","82","32"
"CARR","","2042","CARR","40MCCAQ18XA3","H","IC","18000","18000","A","A","0250","0500","9","50","13","44","98","65"
"CARR","","2042","CARR","40MHHAC09XA3","A","IW","9000","0","A","A","0250","0375","12","28","8","17","82","33"
"CARR","","2042","CARR","40MHHAC12XA1","A","IW","11500","0","D","A","0250","0500","12","32","8","20","82","33"
"CARR","","2042","CARR","40MHHAC12XA3","A","IW","11500","0","A","A","0250","0500","12","32","8","20","82","33"
"CARR","","2042","CARR","40MHHAC18XA3","A","IW","17000","0","A","A","0250","0500","13","38","9","25","98","66"
"CARR","","2042","CARR","40MHHAC24XA3","A","IW","24000","0","A","A","0375","0625","13","44","9","33","164","66"
"WSF","","1937","WSF","AIA60AA","A","IA","60000","0","A","A","0500","0625","58","24","26","210","250","100"
"WSF","","1937","WSF","AIC09AA","A","IC","9000","0","A","A","0250","0375","10","30","30","40","100","50"
"WSF","","1937","WSF","AIC12AA","A","IC","12000","0","A","A","0250","0375","10","30","30","40","100","50"
"WSF","","1937","WSF","AIC15AA","A","IC","15000","0","A","A","0250","0375","10","30","30","40","100","50"
"WSF","","1937","WSF","AIC18AA","A","IC","18000","0","A","A","0250","0375","10","34","34","44","130","70"
"WSF","","1937","WSF","AIC24AA","A","IC","24000","0","A","A","0375","0500","10","34","34","44","130","70"
"WSF","","1937","WSF","AIC30AA","A","IC","30000","0","A","A","0375","0500","10","34","34","48","200","90"
"CARR","","2042","CARR","38MGHBQ24CA3","H","OM","24000","25000","A","A","0250","0375","32","37","16","140","197","49"
"CARR","","2042","CARR","38MGHBQ30DA3","H","OM","30000","30000","A","A","0250","0500","32","37","16","169","262","49"
"CARR","","2042","CARR","38MGHBQ36DA3","H","OM","36000","36500","A","A","0250","0500","52","37","16","223","262","65"
"CARR","","2042","CARR","38MGHBQ48EA3","H","OM","48000","49000","A","A","0250","0500","52","37","16","238","328","65"
"CARR","","2042","CARR","38MGRBQ18BA3","H","OM","18000","19000","A","A","0250","0375","27","35","13","100","131","49"
"CARR","","2042","CARR","38MGRBQ36DA3","H","OM","36000","37000","A","A","0250","0500","32","37","16","169","262","49"
"CARR","","2042","CARR","38MGRBQ48EA3","H","OM","48000","48000","A","A","0250","0500","52","37","16","226","328","65"
"WSF","","1937","WSF","AIC36AA","A","IC","36000","0","A","A","0375","0500","12","34","34","55","200","90"
"WSF","","1937","WSF","AIC42AA","A","IC","42000","0","A","A","0375","0500","12","34","34","55","250","100"
