"Category","Item","Description","Units"
"RHALL","BPERT1000","""1"""" PE-RT Barrier Tubing""","0"
"RHALL","BPERT0500","""1/2"""" PE-RT Barrier Tubing""","0"
"RHALL","BPERT0750","""3/4"""" PE-RT Barrier Tubing""","0"
"RHALL","BPERT0375","""3/8"""" PE-RT Barrier Tubing""","0"
"RHALL","BPERT0625","""5/8"""" PE-RT Barrier Tubing""","0"
"RHALL","FS-STAPLE","1 1/4"" staples","0"
"MSRP","ELS1000","1 inch 90 deg elbow","0"
"MSRP","ELL1000","1 inch 90 deg long radius elbow","0"
"MSRP","RP1000","1 inch Refrigeration pipe","1"
"RHALL","TSTAT-1SPCSP","1 stage programable setpoint controller w/ slab sensor","0"
"RHALL","TSTAT-1SPC","1 stage setpoint controller","0"
"RHALL","TSTAT-1SPCS","1 stage setpoint controller w/ slab sensor","0"
"RHALL","MPEX1000","1"" multi-layered composite tubing","0"
"RHALL","PEX1000","1"" PEX tubing","0"
"RHALL","BPX1000","1"" PEX tubing with oxygen barrier","0"
"RHALL","ALPX1000","1"" PEX-Aluminum tubing","0"
"RHALL","FS-12ST","1.25"" Metal staples","0"
"HVDALL","HV-B15L","1.5  ton low speed blower","0"
"HVDALL","HV-C15C","1.5 ton A/C coil","0"
"HVDALL","HV-C15CX","1.5 ton A/C coil, R-410A","0"
"HVDALL","HV-C15W","1.5 ton chilled water coil","0"
"HVDALL","HV-H15W","1.5 ton hot water coil","0"
"HVDALL","HV-C15H","1.5 ton HP coil","0"
"HVDALL","HV-C15HX","1.5 ton HP coil, R-410A","0"
"HVDALL","HV-R15-X","1.5 ton single return kit, with high efficiency filter","0"
"HVDALL","HV-B15LEC","1.5 ton variable speed blower","0"
"HVDALL","HV-B15LEC2","1.5 ton variable speed blower, 230v","0"
"RHALL","FS-15FS","1.5"" Foam staple","0"
"MSRP","ELS0500","1/2 inch 90 deg elbow","0"
"MSRP","ELL0500","1/2 inch 90 deg long radius elbow","0"
"MSRP","RP0500","1/2 inch Refrigeration pipe","1"
"RHALL","FT-BSA-4","1/2' PAP Stainless Manifold Connector","0"
"RHALL","FT-BSQ-4","1/2' Pex Stainless Manifold Connector","0"
"RHALL","FT-BA-4","1/2'' PEX-Al-PEX Qickzone and Accuflow Manifold Connector (2 per bag)","0"
"RHALL","MAN-1CPV-11","1\"" Copper manifold with valves, 11 outlets","0"
"RHALL","MAN-1CPV-13","1\"" Copper manifold with valves, 13 outlets","0"
"RHALL","MAN-1CPV-14","1\"" Copper manifold with valves, 14 outlets","0"
"RHALL","MAN-1CPV-02","1\"" Copper manifold with valves, 2 outlets","0"
"RHALL","MAN-1CPV-03","1\"" Copper manifold with valves, 3 outlets","0"
"RHALL","MAN-1CPV-04","1\"" Copper manifold with valves, 4 outlets","0"
"RHALL","MAN-1CPV-05","1\"" Copper manifold with valves, 5 outlets","0"
"RHALL","MAN-1CPV-06","1\"" Copper manifold with valves, 6 outlets","0"
"RHALL","MAN-1CPV-07","1\"" Copper manifold with valves, 7 outlets","0"
"RHALL","MAN-1CPV-08","1\"" Copper manifold with valves, 8 outlets","0"
"RHALL","MAN-1CPV-09","1\"" Copper manifold with valves, 9 outlets","0"
"RHALL","MAN-1CP-01","1\"" Copper manifold, 1 outlets","0"
"RHALL","MAN-1CP-10","1\"" Copper manifold, 10 outlets","0"
"RHALL","MAN-1CP-11","1\"" Copper manifold, 11 outlets","0"
"RHALL","MAN-1CP-12","1\"" Copper manifold, 12 outlets","0"
"RHALL","MAN-1CP-13","1\"" Copper manifold, 13 outlets","0"
"RHALL","MAN-1CP-14","1\"" Copper manifold, 14 outlets","0"
"RHALL","MAN-1CP-15","1\"" Copper manifold, 15 outlets","0"
"RHALL","MAN-1CP-02","1\"" Copper manifold, 2 outlets","0"
"RHALL","MAN-1CP-03","1\"" Copper manifold, 3 outlets","0"
"RHALL","MAN-1CP-04","1\"" Copper manifold, 4 outlets","0"
"RHALL","MAN-1CP-05","1\"" Copper manifold, 5 outlets","0"
"RHALL","MAN-1CP-06","1\"" Copper manifold, 6 outlets","0"
"RHALL","MAN-1CP-07","1\"" Copper manifold, 7 outlets","0"
"RHALL","MAN-1CP-08","1\"" Copper manifold, 8 outlets","0"
"RHALL","MAN-1CP-09","1\"" Copper manifold, 9 outlets","0"
"RHALL","MAN-1CPV-12","1\"" Copper manifoldwith valves, 12 outlets","0"
"HVACCTLS","HC-DZCM","10 channel digital zone controller","0"
"HVDALL","HV-DH100","10 kw duct heater","0"
"DSRCT","DRPAN10","10"" joist panning","1"
"MSRP","ELS1125","1-1/8 inch 90 deg elbow","0"
"MSRP","ELL1125","1-1/8 inch 90 deg long radius elbow","0"
"MSRP","RP1125","1-1/8 inch Refrigeration pipe","1"
"HVDALL","HV-H15","1-2 ton heating module","0"
"HVDALL","HV-M15-ACHW","1-2 ton module with AC and HW coils","0"
"HVDALL","HV-M15-ACHWCB","1-2 ton module with AC and HW coils, advanced control box","0"
"HVDALL","HV-M15-ACHWEC","1-2 ton module with AC and HW coils, EC motor","0"
"HVDALL","HV-M15-ACHWEC2","1-2 ton module with AC and HW coils, EC motor, 230v","0"
"HVDALL","HV-M15-ACXHW","1-2 ton module with AC and HW coils, R-410A","0"
"HVDALL","HV-M15-ACXHWCB","1-2 ton module with AC and HW coils, R-410A, advanced control box","0"
"HVDALL","HV-M15-AC","1-2 ton module with AC coil","0"
"HVDALL","HV-M15-ACCB","1-2 ton module with AC coil, advanced control box","0"
"HVDALL","HV-M15-ACEC","1-2 ton module with AC coil, EC motor","0"
"HVDALL","HV-M15-ACEC2","1-2 ton module with AC coil, EC motor, 230v","0"
"HVDALL","HV-M15-ACX","1-2 ton module with AC coil, R-410A","0"
"HVDALL","HV-M15-ACXCB","1-2 ton module with AC coil, R-410A, advanced control box","0"
"HVDALL","HV-M15-CWHW","1-2 ton module with CW and HW coils","0"
"HVDALL","HV-M15-CWHWCB","1-2 ton module with CW and HW coils, advanced combo box","0"
"HVDALL","HV-M15-CWHWEC","1-2 ton module with CW and HW coils, EC motor","0"
"HVDALL","HV-M15-CWHWEC2","1-2 ton module with CW and HW coils, EC motor, 230v","0"
"HVDALL","HV-M15-CW","1-2 ton module with CW coil","0"
"HVDALL","HV-M15-CWCB","1-2 ton module with CW coil, advanced control box","0"
"HVDALL","HV-M15-CWEC","1-2 ton module with CW coil, EC motor","0"
"HVDALL","HV-M15-CWEC2","1-2 ton module with CW coil, EC motor, 230v","0"
"HVDALL","HV-M15-HPHW","1-2 ton module with HP and HW coils","0"
"HVDALL","HV-M15-HPHWCB","1-2 ton module with HP and HW coils, advanced control box","0"
"HVDALL","HV-M15-HPHWEC","1-2 ton module with HP and HW coils, EC motor","0"
"HVDALL","HV-M15-HPHWEC2","1-2 ton module with HP and HW coils, EC motor, 230v","0"
"HVDALL","HV-M15-HPXHW","1-2 ton module with HP and HW coils, R-410A","0"
"HVDALL","HV-M15-HPXHWCB","1-2 ton module with HP and HW coils, R-410A, advanced control box","0"
"HVDALL","HV-M15-HP","1-2 ton module with HP coil","0"
