"Source","Type","Name","Address","City","State","Zip","Phone","Email","Web","Contact"
"AIRQ","","Airquest","","","","","","","",""
"AMAN","M","Amana","","","","","","","",""
"ARCO","","ArcoAire","","","","","","","",""
"COMF","","Comfortmaker","","","","","","","",""
"DAIK","","Daikin","","","","","","","",""
"FUJI","","Fujitsu","","","","","","","",""
"GOOD","M","Goodman Mfg.","","","","","","","",""
"HEIL","","Heil","","","","","","","",""
"KEEP","","Keeprite","","","","","","","",""
"LGEL","","LG Electronics","","","","","","","",""
"MITS","","Mitsubishi Electric","","","","","","","",""
"RHM","M","Rheem","","","","","","","",""
"RUUD","","Ruud","","","","","","","",""
"SAMP","M","Sample","","","","","","","",""
"TEMP","","Tempstar","","","","","","","",""
"UNC","M","Unico","","","","","","","",""
"WSF","M","Wrightsoft","394 Lowell Street","Lexington","MA","02420     ","800-225-8697","sales@wrightsoft.com","www.wrightsoft.com",""
"BRYA","M","Bryant","","","","","","","",""
"CARR","M","Carrier","","","","","","","",""
"RTH","M","Roth Industries","","","","","","","",""
"QST","M","Zurn","","","","","","","",""
"UPN","M","Uponor","","","","","","","",""
"DAYN","","Day & Night","","","  ","          ","","","",""
"GREE","","Gree Electric Appliances Inc. Of Zhuhai","West Jinji RD","Zhuhai","  ","519070    ","86-756-8522218","gree@gree.com.cn","www.gree.com.cn",""
"VIE","M","Viega","","","","","","","",""
"SMCF","","Smart Comfort","","","","","","","",""
"RHEA","M","Rheia","4636 S 35th St, Suite 2","Phoenix","AZ","85040     ","","","www.rheiacomfort.com",""
"MRCL","","MRCOOL","","","","","","","",""
