"generic_item","preferred_source","quantity_variant","source_code","manufacturer_partnum","raw_part_assem_str"
"PEX0750","QST","100","QST","Q4PC100XRED","100~QST^Q4PC100XRED|500~QST^Q4PC500XRED|1000~QST^Q4PC1000XRED"
"PEX0750","QST","500","QST","Q4PC500XRED","100~QST^Q4PC100XRED|500~QST^Q4PC500XRED|1000~QST^Q4PC1000XRED"
"PEX0750","QST","1000","QST","Q4PC1000XRED","100~QST^Q4PC100XRED|500~QST^Q4PC500XRED|1000~QST^Q4PC1000XRED"
"PEX0500","QST","100","QST","Q3PC100XRED","100~QST^Q3PC100XRED|500~QST^Q3PC500XRED|1000~QST^Q3PC1000XRED"
"PEX0500","QST","500","QST","Q3PC500XRED","100~QST^Q3PC100XRED|500~QST^Q3PC500XRED|1000~QST^Q3PC1000XRED"
"PEX0500","QST","1000","QST","Q3PC1000XRED","100~QST^Q3PC100XRED|500~QST^Q3PC500XRED|1000~QST^Q3PC1000XRED"
"PEX0375","QST","100","QST","Q2PC100XRED","100~QST^Q2PC100XRED|500~QST^Q2PC500XRED|1000~QST^Q2PC1000XRED"
"PEX0375","QST","500","QST","Q2PC500XRED","100~QST^Q2PC100XRED|500~QST^Q2PC500XRED|1000~QST^Q2PC1000XRED"
"PEX0375","QST","1000","QST","Q2PC1000XRED","100~QST^Q2PC100XRED|500~QST^Q2PC500XRED|1000~QST^Q2PC1000XRED"
"MAN-BQM-02","QST","","QST","QHMKIT2","QST^QHMKIT2|QST^QHMAVKIT2|QST^QHMODMB"
"MAN-BQM-02","QST","","QST","QHMAVKIT2","QST^QHMKIT2|QST^QHMAVKIT2|QST^QHMODMB"
"MAN-BQM-02","QST","","QST","QHMODMB","QST^QHMKIT2|QST^QHMAVKIT2|QST^QHMODMB"
"MAN-PRAS-04","QST","","QST","QHPM-4","QST^QHPM-4"
"MAN-PRAS-05","QST","","QST","QHPM-5","QST^QHPM-5"
"MAN-PRAS-06","QST","","QST","QHPM-6","QST^QHPM-6"
"MAN-PRAS-07","QST","","QST","QHPM-7","QST^QHPM-7"
"MAN-PRAS-08","QST","","QST","QHPM-8","QST^QHPM-8"
"MAN-PRAS-09","QST","","QST","QHPM-9","QST^QHPM-9"
"BPX0625","QST","100","QST","QHRJPC100FX","100~QST^QHRJPC100FX|300~QST^QHRJPC300FX|500~QST^QHRJPC500FX|1000~QST^QHRJPC1000FX"
"BPX0625","QST","300","QST","QHRJPC300FX","100~QST^QHRJPC100FX|300~QST^QHRJPC300FX|500~QST^QHRJPC500FX|1000~QST^QHRJPC1000FX"
"BPX0625","QST","500","QST","QHRJPC500FX","100~QST^QHRJPC100FX|300~QST^QHRJPC300FX|500~QST^QHRJPC500FX|1000~QST^QHRJPC1000FX"
"BPX0625","QST","1000","QST","QHRJPC1000FX","100~QST^QHRJPC100FX|300~QST^QHRJPC300FX|500~QST^QHRJPC500FX|1000~QST^QHRJPC1000FX"
"MAN-BQMH-06","QST","","QST","QHMKIT6","QST^QHMKIT6|2~QST^QHMAAVKIT6|QST^QHMODMB|QST^QHMBV06|4~QST^QHMCM2"
"MAN-BQMH-06","QST","2","QST","QHMAAVKIT6","QST^QHMKIT6|2~QST^QHMAAVKIT6|QST^QHMODMB|QST^QHMBV06|4~QST^QHMCM2"
"MAN-BQMH-06","QST","","QST","QHMODMB","QST^QHMKIT6|2~QST^QHMAAVKIT6|QST^QHMODMB|QST^QHMBV06|4~QST^QHMCM2"
"MAN-BQMH-06","QST","","QST","QHMBV06","QST^QHMKIT6|2~QST^QHMAAVKIT6|QST^QHMODMB|QST^QHMBV06|4~QST^QHMCM2"
"MAN-BQMH-06","QST","4","QST","QHMCM2","QST^QHMKIT6|2~QST^QHMAAVKIT6|QST^QHMODMB|QST^QHMBV06|4~QST^QHMCM2"
